Name,Tier,Serial,,
Hayden Hurst,Elite,8,,
Hayden Hurst,Elite,18,,
Hayden Hurst,Rare,45,,
Hayden Hurst,Core,231,,
Hunter Henry,Rare,82,,
Hunter Henry,Core,17,,
Hunter Henry,Core,338,,
Hunter Henry,Core,519,,
Hunter Henry,Rare,58,,
Hunter Renfrow,Core,551,,
Hunter Renfrow,Legendary,3,,
Hunter Renfrow,Rare,103,,
Irv Smith Jr.,Rare,91,,
Irv Smith Jr.,Core,42,,
Irv Smith Jr.,Core,403,,
Isaiah McKenzie,Core,164,,
Isaiah McKenzie,Rare,12,,
Isaiah Simmons,Elite,8,,
J.C. Jackson,Core,82,,
J.D. McKissic,Core,547,,
J.J. Watt,Rare,9,,
J.K. Dobbins,Core,359,,
J.K. Dobbins,Core,456,,
J.K. Dobbins,Core,464,,
Jacob Eason,Core,74,,
Jacob Eason,Core,162,,
Jacob Eason,Rare,27,,
Jacob Hollister,Core,50,,
Jacoby Brissett,Elite,2,,
Jaire Alexander,Rare,1,,
Jake Elliott,Core,469,,
Jake Elliott,Rare,119,,
Jake Elliott,Rare,120,,
Jakobi Meyers,Core,273,,
Jakobi Meyers,Core,274,,
Jakobi Meyers,Core,246,,
Jakobi Meyers,Rare,70,,
Jakobi Meyers,Rare,42,,
Jakobi Meyers,Elite,15,,
Jalen Guyton,Core,35,,
Jalen Hurts,Rare,35,,
Jalen Hurts,Legendary,9,,
Jalen Hurts,Elite,12,,
Jamaal Williams,Core,399,,
Jamaal Williams,Rare,70,,
Jamaal Williams,Elite,2,,
Ja'Marr Chase,Legendary,7,,
Ja'Marr Chase,Core,55,,
Ja'Marr Chase,Rare,24,,
Ja'Marr Chase,Elite,23,,
Jameis Winston,Core,535,,
Jameis Winston,Rare,33,,
Jameis Winston,Legendary,9,,
James Conner,Reignmaker,1,,
James Conner,Elite,8,,
James Conner,Rare,2,,
James Conner,Core,530,,
James Conner,Core,329,,
James O'Shaughnessy,Rare,2,,
James O'Shaughnessy,Elite,7,,
James Robinson,Legendary,3,,
James Robinson,Rare,99,,
James Washington,Core,226,,
James Washington,Core,255,,
James Washington,Core,378,,
James White,Core,91,,
James White,Core,263,,
James White,Rare,15,,
James White,Rare,22,,
James White,Core,3,,
James White,Elite,2,,
James White,Core,139,,
Jamison Crowder,Rare,11,,
Jamison Crowder,Elite,26,,
Jamison Crowder,Legendary,10,,
Jamison Crowder,Core,65,,
Jamison Crowder,Elite,30,,
JaMycal Hasty,Core,50,,
JaMycal Hasty,Rare,11,,
JaMycal Hasty,Rare,31,,
Jared Goff,Core,280,,
Jared Goff,Elite,20,,
Jared Goff,Core,69,,
Jared Goff,Core,148,,
Jared Goff,Core,9402,,
Jared Goff,Elite,6,,
Jaret Patterson,Core,159,,
Jason Myers,Core,448,,
Jason Myers,Rare,57,,
Jason Sanders,Rare,32,,
Javon Hargrave,Rare,35,,
Javon Hargrave,Rare,4,,
Javon Hargrave,Rare,6,,
Javonte Williams,Rare,38,,
Javonte Williams,Elite,10,,
Javonte Williams,Core,66,,
Javonte Williams,Rare,47,,
Javonte Williams,Legendary,6,,
Jaylen Waddle,Elite,600,,
Jaylen Waddle,Elite,11,,
Jaylen Waddle,Reignmaker,1,,
Jaylen Waddle,Core,18,,
Jaylen Waddle,Core,55,,
Jeff Wilson Jr.,Elite,5,,
Jeffery Simmons,Core,152,,
Jeffery Simmons,Rare,1,,
Jermar Jefferson,Rare,6,,
Jermar Jefferson,Rare,5,,
Jerome Baker,Rare,13,,
Jerry Jeudy,Rare,92,,
Jerry Jeudy,Rare,18,,
Jerry Jeudy,Core,128,,
Jerry Jeudy,Core,417,,
Jevon Holland,Elite,2,,
Jimmy Garoppolo,Core,66,,
Jimmy Garoppolo,Elite,2,,
Jimmy Garoppolo,Rare,23,,
Joe Burrow,Elite,19,,
Joe Burrow,Elite,14,,
Joe Burrow,Reignmaker,1,,
Joe Burrow,Core,398,,
Joe Burrow,Core,91,,
Joe Burrow,Core,295,,
Joe Burrow,Elite,15,,
Joe Mixon,Rare,94,,
Joe Mixon,Rare,74,,
Joe Mixon,Core,253,,
Joe Mixon,Elite,18,,
Joey Slye,Rare,109,,
Joey Slye,Core,347,,
Joey Slye,Core,356,,
John Johnson III,Core,165,,
Johnathan Abram,Core,182,,
Johnathan Abram,Legendary,2,,
Johnathan Abram,Legendary,4,,
Jonathan Taylor,Legendary,5,,
Jonathan Taylor,Core,86,,
Jonnu Smith,Core,6,,
Jordan Fuller,Elite,2,,
Jordan Love,Elite,1,,
Jordan Poyer,Elite,5,,
Jordyn Brooks,Core,51,,
Josh Allen,Legendary,5,,
Josh Allen,Legendary,1,,
Josh Allen,Rare,5,,
Josh Allen,Rare,27,,
Josh Allen,Legendary,10,,
Josh Gordon,Core,164,,
Josh Jacobs,Elite,2,,
Josh Jacobs,Core,577,,
Josh Reynolds,Elite,9,,
Josh Reynolds,Core,76,,
Joshua Kelley,Core,53,,
Joshua Palmer,Elite,13,,
Joshua Palmer,Core,5,,
Joshua Palmer,Core,310,,
Joshua Palmer,Rare,4,,
Juju Smith-Schuster,Rare,80,,
Juju Smith-Schuster,Rare,45,,
Justin Fields,Elite,3,,
Justin Fields,Rare,39,,
Justin Fields,Rare,67,,
Justin Fields,Core,89,,
Justin Fields,Legendary,2,,
Justin Herbert,Legendary,5,,
Justin Herbert,Reignmaker,1,,
Justin Jefferson,Legendary,4,,
Justin Jefferson,Elite,8,,
Justin Jefferson,Elite,23,,
Justin Jefferson,Core,185,,
Justin Simmons,Rare,39,,
Justin Simmons,Elite,6,,
Justin Tucker,Rare,115,,
Justin Tucker,Elite,30,,
Justin Tucker,Rare,6,,
K.J. Osborn,Core,137,,
K.J. Osborn,Rare,38,,
K.J. Osborn,Core,453,,
K.J. Osborn,Core,537,,
K.J. Osborn,Core,513,,
Kadarius Toney,Core,472,,
Kadarius Toney,Rare,93,,
Ka'imi Fairbairn,Core,269,,
Ka'imi Fairbairn,Rare,18,,
Kamu Grugier-Hill,Core,51,,
Kareem Hunt,Elite,9,,
Kareem Hunt,Rare,34,,
Kareem Hunt,Core,342,,
Kareem Jackson,Legendary,1,,
Keenan Allen,Core,16,,
Keenan Allen,Rare,66,,
Keenan Allen,Core,456,,
KeeSean Johnson,Rare,40,,
Keke Coutee,Core,172,,
Kendrick Bourne,Elite,17,,
Kendrick Bourne,Rare,81,,
Kenneth Gainwell,Elite,26,,
Kenneth Gainwell,Elite,7,,
Kenneth Gainwell,Core,213,,
Kenneth Gainwell,Core,557,,
Kenneth Gainwell,Core,42,,
Kenneth Gainwell,Core,146,,
Kenneth Gainwell,Core,377,,
Kenneth Gainwell,Rare,98,,
Kenneth Gainwell,Core,424,,
Kenny Clark,Rare,23,,
Kenny Golladay,Core,400,,
Kenny Golladay,Rare,62,,
Kenyan Drake,Core,296,,
Kenyon Drake,Core,255,,
Khalil Herbert,Rare,50,,
Khalil Herbert,Rare,3,,
Khalil Herbert,Core,375,,
Khalil Herbert,Legendary,10,,
Khalil Herbert,Core,74,,
Khalil Herbert,Core,6,,
Khalil Herbert,Core,156,,
Khalil Herbert,Core,424,,
Khalil Herbert,Core,557,,
Kirk Cousins,Legendary,9,,
Kirk Cousins,Rare,44,,
Kirk Cousins,Core,23,,
KJ Hamler,Elite,14,,
Kyle Pitts,Elite,20,,
Kyle Pitts,Rare,84,,
Kyle Pitts,Rare,8,,
Kyle Pitts,Rare,17,,
Kyle Pitts,Legendary,1,,
Kyle Pitts,Legendary,7,,
Kyle Pitts,Core,385,,
Kyle Pitts,Core,26,,
Kyle Pitts,Elite,7,,
Kyle Pitts,Reignmaker,1,,
Kyle Pitts,Core,350,,
Kyle Pitts,Elite,3,,
Kylen Granson,Core,18,,
Kylen Granson,Core,180,,
Kyler Murray,Core,366,,
Kyler Murray,Legendary,10,,
Kyler Murray,Elite,17,,
Kylin Hill,Rare,19,,
Kylin Hill,Rare,20,,
Lamar Jackson,Reignmaker,1,,
Lamar Jackson,Legendary,1,,
Lamar Jackson,Legendary,10,,
Lamar Jackson,Legendary,5,,
Lamar Jackson,Core,398,,
Lamar Jackson,Core,456,,
Lamar Jackson,Core,509,,
Lamar Jackson,Elite,15,,
Lamarcus Joyner,Rare,29,,
Lamarcus Joyner,Core,14,,
Laquon Treadwell,Core,51,,
Lavonte David,Core,56,,
Lavonte David,Core,169,,
Leonard Fournette,Legendary,10,,
Leonard Fournette,Core,17461,,
Leonard Williams,Rare,2,,
Leonard Williams,Elite,7,,
Logan Thomas,Core,143,,
Logan Thomas,Rare,91,,
Mac Jones,Core,201,,
Mac Jones,Core,454,,
Malcolm Butler,Core,89,,
Malcolm Butler,Rare,13,,
Malcom Brown,Core,142,,
Marcus Mariota,Core,341,,
Marcus Williams,Core,24,,
Mark Andrews,Elite,4,,
Mark Andrews,Rare,77,,
Mark Andrews,Rare,45,,
Mark Andrews,Legendary,6,,
Mark Andrews,Elite,20,,
Mark Andrews,Legendary,10,,
Mark Andrews,Rare,37,,
Mark Andrews,Rare,55,,
Mark Andrews,Elite,13,,
Mark Andrews,Legendary,2,,
Mark Andrews,Elite,22,,
Mark Ingram II,Rare,78,,
Mark Ingram II,Rare,25,,
Mark Ingram II,Rare,92,,
Mark Ingram II,Core,180,,
Mark Ingram II,Core,262,,
Mark Ingram II,Rare,50,,
Marlon Humphrey,Rare,5,,
Marlon Mack,Rare,40,,
Marlon Mack,Core,283,,
Marlon Mack,Legendary,6,,
Marquez Callaway,Rare,25,,
Marquez Callaway,Core,319,,
Marquez Valdes-Scantling,Rare,36,,
Marquez Valdes-Scantling,Rare,114,,
Marquise Brown,Core,390,,
Marvin Jones Jr.,Core,136,,
Marvin Jones Jr.,Core,150,,
Marvin Jones Jr.,Rare,36,,
